MEDICO->MEDICO
;mal_empeora;mal_igual;mal_mejora
mal_empeora;;N/A;N/A
mal_igual;;;N/A

MEDICO->ENFERMERA
;mal_empeora;mal_igual;mal_mejora
mal_empeora;;N/A;N/A
mal_igual;;;N/A

MEDICO->NUTRICIONISTA
;mal_empeora;mal_igual;mal_mejora
mal_empeora;;N/A;N/A
mal_igual;;;N/A

ENFERMERA->MEDICO
;mal_empeora;mal_igual;mal_mejora
mal_empeora;;N/A;N/A
mal_igual;;;N/A

ENFERMERA->ENFERMERA
;mal_empeora;mal_igual;mal_mejora
mal_empeora;;N/A;N/A
mal_igual;;;N/A

ENFERMERA->NUTRICIONISTA
;mal_empeora;mal_igual;mal_mejora
mal_empeora;;N/A;N/A
mal_igual;;;N/A

NUTRICIONISTA->MEDICO
;mal_empeora;mal_igual;mal_mejora
mal_empeora;;N/A;N/A
mal_igual;;;N/A

NUTRICIONISTA->ENFERMERA
;mal_empeora;mal_igual;mal_mejora
mal_empeora;;N/A;N/A
mal_igual;;;N/A

NUTRICIONISTA->NUTRICIONISTA
;mal_empeora;mal_igual;mal_mejora
mal_empeora;;N/A;N/A
mal_igual;;;N/A

